#fix 2 all deform 200 z erate 0.0001 # strain rate = 0.0001/ps = 10^8/sec
fix 2 all deform 200 z erate 0.001 # strain rate = 0.001/ps = 10^9/sec
#dump 2 all cfg 20000 pos.*.cfg id type xs ys zs # Visualize with AtomEye
#dump 2 all cfg 2000 pos.*.cfg id type xs ys zs # Visualize with AtomEye
#dump 2 all xyz 50000 Au_*.xyz # Visualize with MDL
#dump_modify 2 element Au
#run 500000
run 800000
Memory usage per processor = 136.329 Mbytes
Step Atoms ThermoAv ThermoAv Lz Volume Pzz PotEng Xlat Ylat Zlat 
    9400     8000    330.63979   -1.2411454    398.35297 1.2265661e+09   -0.1970373   -1.2410066         4.08    5.7699913    5.7699913 
    9600     8000    328.90475    -1.241531    398.73345 1.2330196e+09  -0.14165059   -1.2420435         4.08    5.7699913    5.7699913 
    9800     8000    327.87053   -1.2419184    399.11392 1.2389663e+09  -0.14017601   -1.2419133         4.08    5.7699913    5.7699913 
   10000     8000    326.36256   -1.2422646    399.49439 1.2446809e+09  -0.06968948   -1.2442605         4.08    5.7699913    5.7699913 
   10200     8000    323.86185   -1.2424257    399.87486 1.250946e+09 -0.011047411   -1.2435047         4.08    5.7699913    5.7699913 
   10400     8000    323.11478     -1.24285    400.25533 1.2571005e+09 -0.062918698   -1.2431663         4.08    5.7699913    5.7699913 
   10600     8000    322.67244   -1.2432808     400.6358 1.2628799e+09  0.021400779   -1.2437929         4.08    5.7699913    5.7699913 
   10800     8000    321.65524   -1.2436068    401.01627 1.2696003e+09 -0.015511894   -1.2428025         4.08    5.7699913    5.7699913 
   11000     8000    320.59002   -1.2439244    401.39674 1.2765921e+09   0.10970019   -1.2439612         4.08    5.7699913    5.7699913 
   11200     8000    317.81022   -1.2440261    401.77721 1.2835145e+09 -0.020578229     -1.24389         4.08    5.7699913    5.7699913 
   11400     8000    317.16191   -1.2443313    402.15768 1.2913861e+09  -0.14343384    -1.243188         4.08    5.7699913    5.7699913 
   11600     8000    314.79274   -1.2444411    402.53815 1.2984091e+09  -0.21600188    -1.244066         4.08    5.7699913    5.7699913 
   11800     8000    313.37401   -1.2446439    402.91862 1.3054836e+09 -0.057560507   -1.2444157         4.08    5.7699913    5.7699913 
   12000     8000    312.51898   -1.2449125     403.2991 1.312937e+09    -0.174766   -1.2447507         4.08    5.7699913    5.7699913 
   12200     8000    311.96116   -1.2452222    403.67957 1.320026e+09  0.043933235   -1.2456145         4.08    5.7699913    5.7699913 
   12400     8000     311.4225   -1.2455275    404.06004 1.3273749e+09 -0.038270729   -1.2444517         4.08    5.7699913    5.7699913 
   12600     8000    309.44407   -1.2456222    404.44051 1.3344512e+09  -0.24384261   -1.2462568         4.08    5.7699913    5.7699913 
   12800     8000    307.28239   -1.2457072    404.82098 1.3409326e+09   -0.1202037   -1.2447054         4.08    5.7699913    5.7699913 
   13000     8000    305.40188    -1.245816    405.20145 1.3487951e+09 -0.089106882   -1.2456706         4.08    5.7699913    5.7699913 
   13200     8000    305.55683   -1.2461489    405.58192 1.3552997e+09 -0.068363545   -1.2460024         4.08    5.7699913    5.7699913 
   13400     8000    304.58968   -1.2463128    405.96239 1.3627426e+09  0.041162704   -1.2460485         4.08    5.7699913    5.7699913 
   13600     8000    303.86263   -1.2464664    406.34286 1.3701533e+09  0.076827975    -1.246022         4.08    5.7699913    5.7699913 
   13800     8000    302.45756   -1.2465485    406.72333 1.3768007e+09  -0.10517731    -1.246806         4.08    5.7699913    5.7699913 
   14000     8000     302.5083   -1.2468159     407.1038 1.384297e+09  -0.15242482   -1.2469533         4.08    5.7699913    5.7699913 
   14200     8000    301.91583   -1.2469774    407.48427 1.3912373e+09   0.16196413   -1.2475659         4.08    5.7699913    5.7699913 
   14400     8000    299.78652   -1.2469768    407.86475 1.3981787e+09    0.1192574   -1.2471983         4.08    5.7699913    5.7699913 
   14600     8000    300.37377   -1.2472661    408.24522 1.4057935e+09  0.051770158   -1.2473062         4.08    5.7699913    5.7699913 
   14800     8000    299.09044    -1.247344    408.62569 1.4125933e+09 -0.099021967   -1.2476369         4.08    5.7699913    5.7699913 
   15000     8000    298.27497   -1.2474704    409.00616 1.4201259e+09 -0.057049676   -1.2482357         4.08    5.7699913    5.7699913 
   15200     8000    298.59998   -1.2476995    409.38663 1.4269918e+09   0.02601392   -1.2474835         4.08    5.7699913    5.7699913 
   15400     8000    298.84787   -1.2479371     409.7671 1.4346209e+09 -0.026815571   -1.2476234         4.08    5.7699913    5.7699913 
   15600     8000     296.9699   -1.2478108    410.14757 1.4414099e+09   0.15383989   -1.2474879         4.08    5.7699913    5.7699913 
   15800     8000    296.82693   -1.2477926    410.52804 1.4489347e+09 -0.050828039   -1.2478974         4.08    5.7699913    5.7699913 
   16000     8000    295.77696   -1.2478128    410.90851 1.4561754e+09  0.078484772   -1.2488961         4.08    5.7699913    5.7699913 
   16200     8000    295.08761   -1.2477918    411.28898 1.4631036e+09   0.15512897   -1.2485439         4.08    5.7699913    5.7699913 
   16400     8000    294.56851   -1.2479191    411.66945 1.4701288e+09 -0.0052754356   -1.2476927         4.08    5.7699913    5.7699913 
   16600     8000     294.4787   -1.2478902    412.04993 1.4777794e+09 -0.076668687     -1.24753         4.08    5.7699913    5.7699913 
   16800     8000    295.42285   -1.2480877     412.4304 1.4841245e+09  0.013026253   -1.2475878         4.08    5.7699913    5.7699913 
   17000     8000    295.29057   -1.2481836    412.81087 1.4921821e+09  0.017762246    -1.247785         4.08    5.7699913    5.7699913 
   17200     8000    294.06473   -1.2481068    413.19134 1.4992274e+09 0.0010478872   -1.2476342         4.08    5.7699913    5.7699913 
   17400     8000     293.9129   -1.2481171    413.57181 1.5060515e+09  0.050514987   -1.2481026         4.08    5.7699913    5.7699913 
   17600     8000    293.00745   -1.2479646    413.95228 1.5134504e+09 -0.011267637    -1.247289         4.08    5.7699913    5.7699913 
   17800     8000    292.19209   -1.2478101    414.33275 1.5208671e+09 0.00072502132    -1.248191         4.08    5.7699913    5.7699913 
   18000     8000     294.1641   -1.2480137    414.71322 1.5283032e+09   0.10856106   -1.2480561         4.08    5.7699913    5.7699913 
   18200     8000    294.66782   -1.2481595    415.09369 1.5353738e+09 -0.018179802   -1.2485159         4.08    5.7699913    5.7699913 
   18400     8000    292.85059   -1.2478457    415.47416 1.5433576e+09   0.10634724   -1.2478765         4.08    5.7699913    5.7699913 
   18600     8000    293.56316   -1.2478983    415.85463 1.5504711e+09 -0.011558807   -1.2477488         4.08    5.7699913    5.7699913 
   18800     8000    294.43379   -1.2479743     416.2351 1.5575765e+09  0.056902328    -1.247783         4.08    5.7699913    5.7699913 
   19000     8000    294.25464    -1.247852    416.61558 1.565336e+09  0.043170415   -1.2476496         4.08    5.7699913    5.7699913 
   19200     8000    294.68925   -1.2477794    416.99605 1.5721282e+09   -0.1403209    -1.247816         4.08    5.7699913    5.7699913 
   19400     8000    295.41177   -1.2477134    417.37652 1.5803958e+09 0.0096857997   -1.2480166         4.08    5.7699913    5.7699913 
   19600     8000    295.31884   -1.2474709    417.75699 1.5872384e+09  -0.11070934    -1.247106         4.08    5.7699913    5.7699913 
   19800     8000    297.09114   -1.2475823    418.13746 1.5952031e+09   0.23220966   -1.2468286         4.08    5.7699913    5.7699913 
   20000     8000     297.3529   -1.2475694    418.51793 1.6029558e+09 -0.010685503   -1.2472878         4.08    5.7699913    5.7699913 
   20200     8000    295.33176   -1.2471082     418.8984 1.6105557e+09 -0.056368482   -1.2464372         4.08    5.7699913    5.7699913 
   20400     8000    296.81815   -1.2470662    419.27887 1.6178161e+09   0.05313149   -1.2466478         4.08    5.7699913    5.7699913 
   20600     8000     297.3022   -1.2468847    419.65934 1.6255085e+09  -0.17275314   -1.2469785         4.08    5.7699913    5.7699913 
   20800     8000    297.50891   -1.2466377    420.03981 1.6331404e+09 -0.074177647   -1.2466008         4.08    5.7699913    5.7699913 
   21000     8000    297.76038    -1.246555    420.42028 1.6408987e+09 -0.032544863   -1.2464016         4.08    5.7699913    5.7699913 
   21200     8000    299.24099   -1.2465748    420.80075 1.6486596e+09 -0.027309165   -1.2464248         4.08    5.7699913    5.7699913 
   21400     8000    299.08051   -1.2463417    421.18123 1.6562967e+09 -0.068566371   -1.2466929         4.08    5.7699913    5.7699913 
   21600     8000     300.4353   -1.2462406     421.5617 1.6642203e+09   0.12317995   -1.2460971         4.08    5.7699913    5.7699913 
   21800     8000    298.90671   -1.2458716    421.94217 1.6720516e+09  -0.01830739   -1.2466568         4.08    5.7699913    5.7699913 
   22000     8000    302.50489   -1.2461722    422.32264 1.6805251e+09 -0.049804634   -1.2471797         4.08    5.7699913    5.7699913 
   22200     8000    303.63095    -1.246187    422.70311 1.688041e+09  -0.10842557   -1.2461632         4.08    5.7699913    5.7699913 
   22400     8000    303.10925    -1.245941    423.08358 1.6957805e+09  0.032646561   -1.2457433         4.08    5.7699913    5.7699913 
   22600     8000    303.37407   -1.2458871    423.46405 1.7043936e+09  0.074681427   -1.2461301         4.08    5.7699913    5.7699913 
   22800     8000    303.97874   -1.2458225    423.84452 1.7119696e+09   0.15465468   -1.2450746         4.08    5.7699913    5.7699913 
   23000     8000    303.14454   -1.2454617    424.22499 1.7201287e+09  -0.15192121   -1.2455793         4.08    5.7699913    5.7699913 
   23200     8000    303.83104   -1.2454511    424.60546 1.7285155e+09 -0.099922564   -1.2457139         4.08    5.7699913    5.7699913 
   23400     8000    305.83115   -1.2455875    424.98593 1.7364073e+09 -0.092888447   -1.2456402         4.08    5.7699913    5.7699913 
   23600     8000    305.36285   -1.2454545     425.3664 1.7445902e+09  0.019786025   -1.2455004         4.08    5.7699913    5.7699913 
   23800     8000    306.49092   -1.2454718    425.74688 1.752933e+09  -0.27831934   -1.2446645         4.08    5.7699913    5.7699913 
   24000     8000    307.23689   -1.2454654    426.12735 1.7609704e+09   0.17706512   -1.2454785         4.08    5.7699913    5.7699913 
   24200     8000    306.66496   -1.2454164    426.50782 1.7689314e+09 -0.025924672   -1.2450056         4.08    5.7699913    5.7699913 
   24400     8000    307.81723   -1.2455815    426.88829 1.7778489e+09  0.012079036   -1.2460046         4.08    5.7699913    5.7699913 
   24600     8000    305.65879   -1.2451918    427.26876 1.7859542e+09 -0.091284487   -1.2451503         4.08    5.7699913    5.7699913 
   24800     8000     307.3251   -1.2454234    427.64923 1.7942463e+09  0.079941673   -1.2445938         4.08    5.7699913    5.7699913 
   25000     8000    305.55552    -1.245219     428.0297 1.802389e+09   0.21835973   -1.2459759         4.08    5.7699913    5.7699913 
   25200     8000    305.71537   -1.2453392    428.41017 1.8105483e+09 -0.001094628   -1.2447224         4.08    5.7699913    5.7699913 
   25400     8000    306.22521   -1.2454447    428.79064 1.8192954e+09  -0.03211989   -1.2455585         4.08    5.7699913    5.7699913 
   25600     8000    305.73237   -1.2453448    429.17111 1.8273836e+09 -0.019646709   -1.2448474         4.08    5.7699913    5.7699913 
   25800     8000     306.1243   -1.2455249    429.55158 1.8353829e+09 -0.089213199    -1.245518         4.08    5.7699913    5.7699913 
   26000     8000     305.1796   -1.2455103    429.93205 1.8441029e+09 -0.050716066   -1.2452896         4.08    5.7699913    5.7699913 
   26200     8000     306.1153   -1.2457322    430.31253 1.8526987e+09  0.071963922   -1.2462589         4.08    5.7699913    5.7699913 
   26400     8000    304.88557   -1.2455993      430.693 1.8613043e+09  0.053425179   -1.2453278         4.08    5.7699913    5.7699913 
   26600     8000    304.41403   -1.2457295    431.07347 1.8695802e+09   0.01330934   -1.2465493         4.08    5.7699913    5.7699913 
   26800     8000    301.82688   -1.2455164    431.45394 1.8778639e+09  0.017583646   -1.2461825         4.08    5.7699913    5.7699913 
   27000     8000    303.24919   -1.2459251    431.83441 1.8861549e+09  0.019937744   -1.2467474         4.08    5.7699913    5.7699913 
   27200     8000    301.49308    -1.245696    432.21488 1.8945206e+09  0.078110774   -1.2462358         4.08    5.7699913    5.7699913 
   27400     8000    302.81155   -1.2458443    432.59535 1.9030623e+09   -0.1049716    -1.246165         4.08    5.7699913    5.7699913 
   27600     8000    302.72245   -1.2457847    432.97582 1.9114753e+09   0.10460872   -1.2460903         4.08    5.7699913    5.7699913 
   27800     8000    303.83954   -1.2456292    433.35629 1.9200978e+09 -0.013497791   -1.2452998         4.08    5.7699913    5.7699913 
   28000     8000    303.42472   -1.2453648    433.73676 1.9285909e+09 -0.035149207   -1.2457006         4.08    5.7699913    5.7699913 
   28200     8000    302.41507   -1.2450619    434.11723 1.9368865e+09  -0.19027807   -1.2446367         4.08    5.7699913    5.7699913 
   28400     8000    302.88704   -1.2449501     434.4977 1.9453905e+09   -0.1489296   -1.2451961         4.08    5.7699913    5.7699913 
   28600     8000    301.72674    -1.245026    434.87818 1.9542041e+09  -0.01169669   -1.2456288         4.08    5.7699913    5.7699913 
   28800     8000    300.14933   -1.2449624    435.25865 1.962549e+09  -0.10027918   -1.2448026         4.08    5.7699913    5.7699913 
   29000     8000    300.26522   -1.2448401    435.63912 1.9706962e+09  -0.11572875   -1.2435331         4.08    5.7699913    5.7699913 
   29200     8000    299.66714   -1.2447171    436.01959 1.9792212e+09  0.051499119   -1.2445169         4.08    5.7699913    5.7699913 
   29400     8000    297.99392   -1.2445224    436.40006 1.9879212e+09  0.037503534    -1.243836         4.08    5.7699913    5.7699913 
   29600     8000    300.07418   -1.2449306    436.78053 1.996594e+09   -0.0111864    -1.244795         4.08    5.7699913    5.7699913 
   29800     8000    301.10218   -1.2450572      437.161 2.0049353e+09 0.0054440167   -1.2452573         4.08    5.7699913    5.7699913 
   30000     8000    296.43038   -1.2444938    437.54147 2.0135885e+09  0.022443362   -1.2446383         4.08    5.7699913    5.7699913 
   30200     8000    297.76924   -1.2448972    437.92194 2.0218771e+09 -0.031462593   -1.2441473         4.08    5.7699913    5.7699913 
   30400     8000    297.37906   -1.2449957    438.30241 2.0304791e+09  -0.01591995    -1.244643         4.08    5.7699913    5.7699913 
   30600     8000    296.84172   -1.2450602    438.68288 2.0388872e+09  0.022232724    -1.244582         4.08    5.7699913    5.7699913 
   30800     8000    295.84286   -1.2448854    439.06336 2.0474748e+09  0.018485076   -1.2443875         4.08    5.7699913    5.7699913 
   31000     8000    296.51951   -1.2449594    439.44383 2.0560057e+09  0.041574766   -1.2451092         4.08    5.7699913    5.7699913 
   31200     8000    296.93753   -1.2449138     439.8243 2.0645485e+09 -0.069291675   -1.2454565         4.08    5.7699913    5.7699913 
   31400     8000    294.08396   -1.2444914    440.20477 2.0733421e+09  0.098941465   -1.2430635         4.08    5.7699913    5.7699913 
   31600     8000    294.10158   -1.2445607    440.58524 2.0817756e+09 -0.085775248   -1.2449284         4.08    5.7699913    5.7699913 
   31800     8000    294.81748   -1.2446435    440.96571 2.0908041e+09 -0.027924754    -1.244223         4.08    5.7699913    5.7699913 
   32000     8000    292.35594   -1.2444128    441.34618 2.0993039e+09  0.061464045   -1.2442284         4.08    5.7699913    5.7699913 
   32200     8000    293.61596   -1.2444871    441.72665 2.1076845e+09   0.15476892    -1.244337         4.08    5.7699913    5.7699913 
   32400     8000    291.92656   -1.2442378    442.10712 2.1166672e+09 -0.047820994   -1.2435183         4.08    5.7699913    5.7699913 
   32600     8000    292.15691   -1.2441776    442.48759 2.1253978e+09  0.043793553   -1.2437812         4.08    5.7699913    5.7699913 
   32800     8000    292.86612   -1.2442302    442.86806 2.1336345e+09   0.11248935   -1.2445535         4.08    5.7699913    5.7699913 
   33000     8000    292.87209   -1.2442218    443.24853 2.1429312e+09 -0.017978666   -1.2446456         4.08    5.7699913    5.7699913 
   33200     8000    292.52887    -1.244035    443.62901 2.1514947e+09     0.126815   -1.2451497         4.08    5.7699913    5.7699913 
   33400     8000    292.98291   -1.2439969    444.00948 2.1603292e+09 -0.022405972   -1.2440014         4.08    5.7699913    5.7699913 
   33600     8000    293.74733   -1.2440023    444.38995 2.1691942e+09 -0.058943464   -1.2439387         4.08    5.7699913    5.7699913 
   33800     8000    292.89584   -1.2437562    444.77042 2.1776707e+09 -0.027418882   -1.2440733         4.08    5.7699913    5.7699913 
   34000     8000    292.84702   -1.2436219    445.15089 2.186671e+09  0.019647839   -1.2435378         4.08    5.7699913    5.7699913 
   34200     8000    293.88642   -1.2435538    445.53136 2.1956018e+09 0.0016771679   -1.2436781         4.08    5.7699913    5.7699913 
   34400     8000    294.24884   -1.2434362    445.91183 2.2049605e+09  0.033717778    -1.243593         4.08    5.7699913    5.7699913 
   34600     8000    294.64069   -1.2432751     446.2923 2.2139687e+09 -0.087039778   -1.2432956         4.08    5.7699913    5.7699913 
   34800     8000    296.37446   -1.2432917    446.67277 2.2229808e+09 -0.046557145   -1.2439244         4.08    5.7699913    5.7699913 
   35000     8000    296.95607   -1.2431825    447.05324 2.231961e+09  0.074675925   -1.2431512         4.08    5.7699913    5.7699913 
   35200     8000    297.43908   -1.2429978    447.43371 2.2407279e+09  0.095625733   -1.2429449         4.08    5.7699913    5.7699913 
   35400     8000    298.16585   -1.2428914    447.81418 2.250006e+09  -0.15450048   -1.2434305         4.08    5.7699913    5.7699913 
   35600     8000     299.1241   -1.2427514    448.19466 2.2592175e+09   0.19852049     -1.24212         4.08    5.7699913    5.7699913 
   35800     8000    300.75643   -1.2427251    448.57513 2.2688385e+09  0.018836306   -1.2433139         4.08    5.7699913    5.7699913 
   36000     8000    301.18683   -1.2425515     448.9556 2.2780986e+09  0.013013013    -1.242079         4.08    5.7699913    5.7699913 
   36200     8000      302.586    -1.242435    449.33607 2.2871029e+09   0.06299298   -1.2423467         4.08    5.7699913    5.7699913 
   36400     8000     303.4029    -1.242288    449.71654 2.2969274e+09 0.0068400532   -1.2422093         4.08    5.7699913    5.7699913 
   36600     8000     303.5672   -1.2420421    450.09701 2.3058223e+09 -0.046812197   -1.2424024         4.08    5.7699913    5.7699913 
   36800     8000    304.29719   -1.2418601    450.47748 2.3155413e+09 -0.094275375   -1.2409675         4.08    5.7699913    5.7699913 
   37000     8000    304.26488   -1.2416547    450.85795 2.3249985e+09 -0.074618819   -1.2419542         4.08    5.7699913    5.7699913 
   37200     8000    306.14975   -1.2415967    451.23842 2.3346441e+09   0.02559069   -1.2416242         4.08    5.7699913    5.7699913 
   37400     8000    306.30082   -1.2414561    451.61889 2.344288e+09 -0.023515548   -1.2410881         4.08    5.7699913    5.7699913 
   37600     8000    308.23001   -1.2414953    451.99936 2.3537755e+09 -0.072132918   -1.2414785         4.08    5.7699913    5.7699913 
   37800     8000    309.38279   -1.2414674    452.37983 2.3632176e+09  0.056849953   -1.2407991         4.08    5.7699913    5.7699913 
   38000     8000    307.76513   -1.2411604    452.76031 2.3730343e+09 -3.2066339e-05   -1.2411373         4.08    5.7699913    5.7699913 
   38200     8000    307.71507   -1.2410821    453.14078 2.3828028e+09  0.035164246   -1.2410053         4.08    5.7699913    5.7699913 
   38400     8000    308.22699   -1.2410252    453.52125 2.3922889e+09 -0.010445109   -1.2405978         4.08    5.7699913    5.7699913 
   38600     8000    306.75514   -1.2407698    453.90172 2.4021848e+09 -0.024086353   -1.2413058         4.08    5.7699913    5.7699913 
   38800     8000    306.68796   -1.2407304    454.28219 2.4118318e+09 -0.050076321    -1.241479         4.08    5.7699913    5.7699913 
   39000     8000    309.00063   -1.2409936    454.66266 2.4216538e+09  0.068613934   -1.2408476         4.08    5.7699913    5.7699913 
   39200     8000    308.51071   -1.2409899    455.04313 2.4316883e+09 -0.022713008   -1.2409008         4.08    5.7699913    5.7699913 
   39400     8000    307.85448   -1.2409257     455.4236 2.4423915e+09  0.061343312   -1.2421128         4.08    5.7699913    5.7699913 
   39600     8000    306.98478   -1.2408163    455.80407 2.452611e+09 -0.066144806    -1.241125         4.08    5.7699913    5.7699913 
   39800     8000    306.05071   -1.2408359    456.18454 2.4636282e+09  0.091986218   -1.2411909         4.08    5.7699913    5.7699913 
   40000     8000    306.47047   -1.2410628    456.56501 2.474136e+09  0.010722182   -1.2412031         4.08    5.7699913    5.7699913 
   40200     8000    306.09425   -1.2410632    456.94548 2.4851347e+09 -0.036193743   -1.2408064         4.08    5.7699913    5.7699913 
   40400     8000    306.05967   -1.2412053    457.32596 2.4961438e+09  0.088846876   -1.2412156         4.08    5.7699913    5.7699913 
   40600     8000    305.17339   -1.2411783    457.70643 2.5065951e+09 -0.065669566    -1.242061         4.08    5.7699913    5.7699913 
   40800     8000    303.61394    -1.241149     458.0869 2.517752e+09   0.10599412   -1.2411206         4.08    5.7699913    5.7699913 
   41000     8000    303.39178   -1.2411902    458.46737 2.5282184e+09  0.030231328   -1.2409663         4.08    5.7699913    5.7699913 
   41200     8000    301.16797   -1.2410693    458.84784 2.5393894e+09  0.044789142   -1.2408989         4.08    5.7699913    5.7699913 
   41400     8000    301.20249   -1.2412307    459.22831 2.549913e+09  0.088573469    -1.241769         4.08    5.7699913    5.7699913 
   41600     8000    301.64579   -1.2415735    459.60878 2.5610975e+09 -0.051978958   -1.2424266         4.08    5.7699913    5.7699913 
   41800     8000    299.97376   -1.2415107    459.98925 2.5715478e+09  0.060998093   -1.2419353         4.08    5.7699913    5.7699913 
   42000     8000    303.59506   -1.2422597    460.36972 2.5826595e+09 -0.066630627   -1.2430736         4.08    5.7699913    5.7699913 
   42200     8000    306.16237   -1.2428296    460.75019 2.5937781e+09 -0.023484497   -1.2421537         4.08    5.7699913    5.7699913 
